business_name,phone,address,location,category,description
Nevada Hotels and Suites,0904 473 6776,"3 Aaron Irabor St, off Alh. Prince Raufu Ishola Lemomu Street, Agungi, Lekki 106104, Lagos",Lagos,Accommodation,We offer a complete experience of standard and state-of-the art guest facilities and cuisine to inspire and please demanding food cravings. Nevada adds a perfect hospitality solution to business and leisure visitors.
Chesney Hotel,"0909 685 1899, 090 968 51900, 01 2770312","37, Saka Tinubu Street, Victoria Island, Lagos, Nigeria",Lagos,Accommodation,Chesney Hotel is an oasis of luxury hotel strategically located in the heart of Lagos for great lodging accommodation with state-of-the-arts facilities to suit all clients.
DeRitz Hotel,"0802 135 2167, 0808 986 7767, 01 295 5687","4 Tiwalade Close, Allen Avenue, Ikeja, Lagos, Nigeria",Lagos,Accommodation,"DeRitz Hotel is located in Ikeja, Lagos and they provides affordable room service with delicious food in our restaurants and at banquets."
Protea Hotels,0 1 631 0250,"Plot 2, Assbifi Road, Ikeja, Lagos, Nigeria",Lagos,Accommodation,"Protea Hotels is a luxurious 4-star hotel located in Ikeja known to be an embodiment of class for kind of services they provide such as executive room services with Wi-Fi access and gym, swimming pool, restaurant etc."
Sofitel Moorhouse Hotel,"0708 427 7309, 0803 553 4685, 01 27 77 210","1 Bankole Oki road, Ikoyi, Lagos, Nigeria",Lagos,Accommodation,"Sofitel Moorhouse Hotel is a luxury hotel in Ikoyi, Lagos that is committed to providing home away luxury room services, restaurant services and related others."
Welcome Centre Hotels,"0805 476 3801, 0814 591 9738, 01 271 9255","70 International Airport Road, Ikeja, Lagos, Nigeria",Lagos,Accommodation,"Welcome Centre Hotels is a cosy hotel located in a tranquil area in Ikeja offering lodging accommodation with lots of  other facilities such as conference hall, wedding hall, leisure facilities and others."
Morning Side Suites,0704 643 6379,"11b Taslim Elias Close, Victoria Island, Lagos",Lagos,Accommodation,"Morning Side Suites is a four star hotel that offers full accomodation services with modern facilities like events hall, equipped gym, bar, restaurant and serviced rooms."
The Art Hotel,0916 610 5381,"Plot 13A, Block III Yesufu Abiodun Oniru Way, Victoria Island, Lagos, Nigeria",Lagos,Accommodation,"The Art Hotel provides well decorated rooms annd suites, dining, meetings and events halls, gym and art gallery."
Tudor House Hotel,"0818 004 8923, 0915 437 8529","14 Dr Adewale Oshin St, Prince Bode Adebowale Crescent, Off Chief Collins Uchiejuno, Lekki Phase 1, Lagos, Nigeria",Lagos,Accommodation,"Tudor House Hotel offers luxurious rooms, incredible dining experience at a pocket friendly rate."
Villa Angelia Hotels,0909 080 2422,"Villa Angelia, VI 20, Ojuolobun Close off Bishop Oluwole, Victoria Island, Lagos, Nigeria",Lagos,Accommodation,"Villa Angelia Hotels provides hospitality needs at afforable rate, featuring standard room and double executive suite."
White Orchid Hotel,"0901 200 2206, 0901 200 2207","1637 Adetokunbo Ademola Street, Victoria Island, Lagos, Nigeria",Lagos,Accommodation,"White Orchid Hotel is a serene hotel with a luxury accomdation services such as turaka rooftop restaurant, Jinja garden, luxury cinema and modern facilities."
Berry and Bricks Apartment,"0816 480 4088, 0909 888 0175","1, James Anyaeche, Bera Estate, Chevron Drive, Lekki, Lagos",Lagos,Accommodation,Berry and bricks apartment is a 5 bedroom fully furnished luxury shortlet located in a serene and fully secured gated estate.
Cadebridge Homes,0807 404 9468,"15 Awolowo rd, Ikoyi, Lagos State",Lagos,Accommodation,"Cadebridgehomes is an expertise property development and management company with activities in Nigeria and Africa. Experience our premium luxury accommodations, homes and realestate."
Autocera Homes,0707 025 3975,"24 Glover Rd., Ikoyi Lagos, Lagos State",Lagos,Accommodation,"Autocera homes are real estate developers providing different real estate properties, with shortlets, apartments, vacation rentals and Airbnb real estate."
Alafia Honestay,0703 109 0165,"74A Ogudu road,. Next to Area H Police station, Ogudu GRA, Lagos",Lagos,Accommodation,"Alafia Homestay is an oasis of calm in the midst of this bustling city, providing unique and affordable short and long-term bookings at our staycation destination located in Ogudu, Lagos.Our three-bedroom ensuite home boasts a spacious courtyard and a"
Bec Suites,"08034035514, 07026409577, 01-2710454","16, Joel Ogunnaike Street / X51A & 53 Sir Michael Otedola Crescent, G.R.A, Ikeja, Lagos, Nigeria",Lagos,Accommodation,"Bec Suites  is located in Ikeja, Lagos."
Chez Moi Apartment,"0815 423 7201, 01 454 3027","12 Ayoola Cooker Street, G.R.A, Ikeja, Lagos, Nigeria",Lagos,Accommodation,"Chez Moi Apartment contemporary living rooms with sofa beds, dining tables and 32 inch LCD flat screen televisions multi channels and DSTV."
Embassy Court Hotel,"08033700063, 08138952592, 08037412523","15A Admiralty Way, Lekki Phase 1, Victoria Island, Lagos, Nigeria",Lagos,Accommodation,"Embassy Court Hotel  is located in Victoria Island, Lagos."
Find Nigeria Property,0805 790 9314,"Mobolaji Bank Anthony Way, Ikeja, Lagos, Nigeria",Lagos,Accommodation,Find Nigeria Property is an internet portal where you can find properties anywhere in Nigeria or make a request or we'll find it for you.
GrandBee Suites,"08032761206, 01-4482370","31A, Joel Ogunnaike Street, Ikeja, Lagos, Nigeria",Lagos,Accommodation,"GrandBee Suites is located in Ikeja, Lagos."
Hillcrest Hotel,"07098111180, 01-2706886","2, Afolabi Awosanya Street, Opebi, Ikeja, Lagos, Nigeria",Lagos,Accommodation,"Hillcrest Hotel are a hospitality center in Lagos for luxurious lodging, banqueting, bar and conferencing services."
Hotel 1960 Eagles Park,"0808 374 5991, 0813 778 4995, 0805 109 3592","7 Obokun Close, Awolowo way, Ikeja, Lagos, Nigeria",Lagos,Accommodation,"hotel 1960 eagles park is located in Ikeja and strives to meet with customers' expectations in the areas of luxury guest rooms, restaurant, cocktail bar, room service and 24 hour front desk staff."
Oakwood Park Hotels,"08074497177, 01-2702900","Lekki Expressway, Lekki, Lagos, Nigeria",Lagos,Accommodation,"Oakwood Park Hotels is located in Lekki Peninsula, Lagos."
Olatunde Kehinde & Co,0703 421 5599,"26,Alimosho road, Iyana Ipaja, Lagos",Lagos,Accommodation,"Olatunde Kehinde & Co operations is sourcing for reliable tenants and accommodations for companies, individual and property management and valuations of all purposes."
The PalmView Manor Limited,"08034020116, 07026364951","2, Tony Anegbode Street, Victoria Island, Lagos, Nigeria",Lagos,Accommodation,A Lagos based hotel for luxurious lodging accommodation and banquetting facilities.
Westown Hotel,"0809 810 2983, 01-7742757, 01-4489400-8","7, Sheraton-Opebi Link road, Ikeja, Lagos, Nigeria",Lagos,Accommodation,"Westown Hotel is a 4-star hotel located in Ikeja that provides room services for clients, bar services and range of their hotel services for the comfort of their clients."
American Business Council,"0805 522 9663, 01 270 2909, 01 270 2910","C&C Towers, Plot 1684, Sanusi Fafunwa Street, Victoria Island, Lagos State Nigeria",Lagos,Business,American Business Council doing business in Nigeria for promoting Nigeria - US economic partnership.
Chris Ejik Group of Companies,"0815 089 2289, 0906 600 0006","3, Oje-Imavan Street, Off Kudirat Abiola Way, Ikeja, Lagos, Nigeria",Lagos,Business,"Chris Ejik Group of Companies is a diversified company that specializes on engineering, construction, procurement, pharmaceuticals and many other services."
Chronicles,"0806 607 1971, 0803 769 9362, 0809 400 1274","19, Shogunle Street, off Mobolaji Bank Anthony Way, behind Etiebets Place, Ikeja, Lagos, Nigeria",Lagos,Business,"Chronicles Software Development Company Limited is an IT enterprise that is dedicated to innovations, they provide software applications to solve many business problems."
Concept Nova,"0815 088 0054, 0905 560 8608","Ground Floor, Achillies Place, No. 11 Maye Street, Yaba, Lagos, Nigeria",Lagos,Business,"Concept Nova is an IT business enterprise that provide distinctive services on remote monitoring, asset recovery, loT consulting, management services and many others."
Cybedev Technologies,0810 753 9186,"27 Oritshe Street off Balogun Street, Ikeja, Lagos",Lagos,Business,"Cybedev Technologies, previously Cybertech Digitals is a recommendable information technology company that provides bespoke digital services such as website design, eCommerce, software development and more."
Development Standards Technologies Limited,0803 865 7737,"7 Raymond Street Sabo, Yaba, Lagos, Nigeria",Lagos,Business,"Development Standards Technologies Limited is an IT company that provide numerous services ranging from software development and consulting services, web hosting and other corporate services."
First Bank Plc,"0708 062 5000, 01 448 5500","Samuel Asabia House 35, Marina, Lagos Island Nigeria",Lagos,Business,First Bank Plc is the foremost financial institution and multinational bank in Nigeria offering general banking and money transfer services.
FITglass,0803 898 2315,"Bayo Oyewale, 8 Akpomuje Street, Ago Palace Way, Lagos, Nigeria",Lagos,Business,"Frameless Impression Tempered Glass is a reputable architecture glass  company that provide numerous construction services such as glass partitioning, kitchen splashback, shower enclosure, glass balustrades, glass railing etc."
FlexiP Group,"0817 200 4171, 01 631 0195, 01 631 0196","FPG Technologies & Solutions LTD, Plot 26A Providence Street, Lekki Phase 1, Lagos",Lagos,Business,"FlexiP Group offers diverse services in information technology, real estate, civil engineering, power, oil and gas & provide organizations with flexible business solutions that will help them accelerate their businesses."
Gems Consulting Company Ltd,"0815 333 2297, 08074717435, 08077705762","Plot 2D Obasa Close, Oba-Akran, Ikeja, Lagos Nigeria",Lagos,Business,"Gems Consulting Company Limited is a technology driven company that offers wide range of business solutions such as business intelligence, marketing, cloud transformation and many others bespoke solutions."
GGRC,0805 958 1229,"2A Raymond Njoku Street, Ikoyi, Lagos, Nigeria",Lagos,Business,Going Green Recycling Company is a non-government organization that specializes on sensitizing the public on environment pollution and how to prevent plastics pollution.
IAF SAWII Limited,0903 777 8195,"NSPRI Building, 32/34, Barikisu Iyede, UNILAG Road, Abule Oja, Lagos State",Lagos,Business,"IAF SAWII Limited helps educational and financial enterprises to manage and develop a reliable software, they also offer software consultancy services and IT training."
IBM Innovation Center,"01 46 26300, 0809 2780033","5th Floor, Churchgate Tower 2, Plot PC 31, Churchgate street (former Afribak Street), Victoria Island, Lagos Nigeria",Lagos,Business,"IBM Innovation Center is a technology partners that offers innovative services such as brand development, business support, and other services that will help your business become cognitive enterprise."
Ikeja Electric Plc,"01 700 0250, 01 227 2940","Obafemi Awolowo Way, Alausa, Ikeja, Lagos, Nigeria",Lagos,Business,"Ikeja Electric Plc is a electrical distribution company that specialize on rendering customer service, ranging from customer registration, power availability, e-billing, key change and many others."
Lonadek Nigeria Limited,"0906 747 0204, 0813 911 2519","No 12, Jibowu Street, Yaba, Lagos",Lagos,Business,"Lonadek Nigeria Limited is an innovation solution company that offers series of efficient services such as engineering support services, IT solutions services, consultancy services, local content services etc."
NASME,"0811 185 2200, 0803 259 3760, 0818 820 1662","No 5 Olaide Tomori Street, Ikeja, Lagos",Lagos,Business,"Nigerian Association of Small and Medium Enterprises, Lagos (NASME) is the apex Business Membership Organization (BMO) in Nigeria established to co-ordinate and fosters the promotion of Micro, Small and Medium Enterprises (MSMEs)."
SEEPCO,0907 000 2300,"205 Abiola Segun Street, Off Muri Okunola Street, Victoria Island, Lagos, Nigeria",Lagos,Business,Sterling Oil Exploration & Energy Production Company Ltd (SEEPCO) is an incorporated company that specializes on exploration and production of Okwuibome Blend of crude oil that is recognized by the Nigerian National Petroleum Corporation (NNPC)..
SGK Global Shipping,"0705 606 8475, 0818 336 9172","364 Herbert Macaulay Way, Yaba, Lagos, Nigeria",Lagos,Business,"SGK Global Shipping is a transportation company that provide wide range of services such as air cargo, ocean freight, procurement, warehousing and trucking services, packaging and others."
Thomas Wyatt (Nigeria) Plc,"0912 259 1094, 0818 494 4281, 0906 145 0558","10 Abebe Village Road, Iganmu, Lagos",Lagos,Business,"Thomas Wyatt (Nigeria) Plc provides general services on stationeries, creative designing,  printing and publishing."
Transnational Corporation of Nigeria Plc,"0814 565 2652, 0906 230 3605","Transnational House  38 Glover Road, (Formerly 22B), Ikoyi, Lagos Nigeria",Lagos,Business,"Transnational Corporation of Nigeria Plc is a business conglomerate doing business in areas such as hospitality, power and energy in Nigeria."
Palette Business Solutions Limited,0816 749 1375,"19 Adebola Street Via Alhaji Masha Road, Surulere, Lagos, Nigeria",Lagos,Business,Palette Business Solutions Limited specializes in renewable energy and business security solutions. Empower your enterprise with our expert services today.
Mikano Ltd,"0700 123 4567, 0812 830 8361, 0812 990 2200","Plot 34/35, 34,35 Acme Road, Ogba Ikeja, Lagos",Lagos,Business,"Mikano International Limited is for importation, distribution, sales, leasing and spare parts on milkano generating sets."
Acmegeo Limited,"0803 591 6629, 0805 537 2704, 0803 688 7477","House 47 AB Street, Shagari Federal Housing Estate, Ipaja, Lagos State, Nigeria",Lagos,Business,"Acmegeo offers services in geophysical & borehole drilling, geochemical, geotechnical & geological consulting, vibroflotation compaction & soil stabilization, dredging, groundwater control & dewatery systems."
Aniibol Consulting Group,"0701 307 5824, 0701 307 5825","260c Muritala Mohammed Way, Yaba, Lagos State, Nigeria",Lagos,Business,"Aniibol Consulting Group is a group of companies which include Aniibol training institute, Aniibol construction and engineering, Aniibol properties, Aniibol agro-allied services, Aniibol IT solutions, Aniibol petroleum, Aniibol haulage and logistics"
Babakusa Limited,0805 099 2920,"No 114a Lamido Cresent, Giginyu, Kano, Nigeria",Lagos,Business,"Babakusa Limited is a technological driven company that offer numerous IT services such as website development, software development, web hosting and many others."
Crenet,0812 090 4963,"9, Akinhanmi Street off Western Avenue, Idi Oro, Lagos, Nigeria",Lagos,Business,"Crenet provides service design strategy, responsive web development, e-Commerce, hosting & security, product development and many others."
Economic Associates,"0803 305 5380, 0703 344 2370, 0809 071 3133","1st Floor, Lindev Plaza, 16 Amodu Ojikutu Street, Victoria Island, Lagos State",Lagos,Business,"Economic Associates provides analysis of economic facts to key decision makers as well as advisory services, seminar and conference management."
Fareast Mercantile Co. Ltd,01 280 5293,"21, Fatai Atere Way, Matori Mushin, Lagos Nigeria",Lagos,Business,"Fareast Mercantile Company Limited is a multi diverse company with areas of business in manufacturing, exports, retails and distribution of dairy products, personal care products, beverages, cereals and more."
First Aluminium Nigeria,"0806 263 0211, 0803 283 6326, 0809 822 2157","2 Akilo Street, Ogba Ikeja, Lagos",Lagos,Business,"First Aluminium Nigeria, often called FAN is a leading aluminium manufacturing company that deals with all kinds aluminium production, fabrication and installation services."
Grandilo,"0811 187 5720, 01 710 0032","No 32, Barikisu Iyede Street, Off Unilag Road, Yaba, Lagos, Nigeria",Lagos,Business,"Grandilo provide wide range of IT solutions such as web applications, mobile applications, software applications, search engine optimization(SEO), project management and others."
Gravity Solutions Ltd,"0803 086 7453, 0802 344 1118","1, Akinwande Street, off Akinhanmi Street, via Western Avenue, Surulere, Lagos, Nigeria",Lagos,Business,"Gravity Solutions Limited offer series of construction services ranging from metal roofing, house renovation, construction consultancy, laminating floor and general contracting services."
Hugs Clearing & Forwarding Agency,"0806 829 9298, 0903 357 2411","Shop 32 Container Complex, PTML, Tincan-Apapa, Lagos State, Nigeria",Lagos,Business,Hugs Clearing & Forwarding Agency is a Nigeria custom approved clearing and forwarding solution company.
IT Horizons Nigeria Ltd,"0908 736 5220, 0909 599 8817, 0818 903 9359","9B Akin-Ogunmade Davies Street, Gbagada Phase 2, Lagos",Lagos,Business,"IT Horizons Nigeria Limited offers network infrastructure solutions, supply and installation of IT infrastructures, IT training and consultancy services, network security solutions and a lot more."
Kaga Movers,"+2349074067302, +2347062551624","8, Ayinde Giwa Street, Off Ogunlana Drive, Lagos, Lagos",Lagos,Business,"We provide our customers with superior home, office and industrial moving services by employing the most qualified, skilled and professionally-motivated personnel in the industry."
Larrabee Enterprises Limited,"0809 494 0207, 0809 494 0208, 0802 362 7644","Sharada Road, Plot 61/62 Sharada Industrial Estate Phase III, Kano, Kano, Nigeria",Lagos,Business,"Larrabee Enterprises Limited is a recommendable company that specialize on leather production, they also export leather material."
CraftsVillage Academy,0706 146 9592,"25, Ogunlana Drive, Behind Unity Registrars, Surulere, Lagos",Lagos,Arts,CraftsVillage Academy offers engaging art and crafts courses for beginners. We cultivate your creativity to learn new skills in our centre.
Centre for Contemporary Art,"0702 836 7106, 0815 580 7542","9, McEwen Street, Yaba, Lagos Nigeria",Lagos,Arts,"Centre for Contemporary Art (CCA,Lagos) is an independent non-profit making visual art providing platform for the development, presentation, and discussion of contemporary visual art, culture and lots more."
Charella Nigeria Limited,0909 393 4004,"23B, Fatai Atere Way, Matori Industrial Estate, Shomolu, Lagos Nigeria",Lagos,Arts,Charella Nigeria Limited is a full service outdoor media advertising fully committed to the highest standards of quality and care.
Crafties Hobby Craft Ltd,"0803 310 4855, 0703 569 4145, 0817 136 7105","Shop 1, Adebola Shopping Mall, 53, Isaac John Street, GRA Ikeja, Lagos Nigeria",Lagos,Arts,"Crafties Hobby Craft Limited is a hobby craft center for craft tools and art materials located in Ikeja, Lagos."
Lagos State Council For Arts And Culture,"01 293 0064, 01 7346979","No 133 Obafemi Awolowo Way, Ikeja, Lagos Nigeria",Lagos,Arts,Lagos State Council For Arts & Culture envisions to make Lagos State Council for Arts & Culture the heart beat of Nigerian culture through positive enunciation & implementation of the Nigerian cultural policy in its entirety.
National Gallery of Arts,"0802 832 2535, 01 5833354, 01 5833350","Entrance B, National Theatre Complex, Orile Iganmu Surulere, Lagos Nigeria",Lagos,Arts,This Nigerian National Gallery of Arts provides facilities center for the exhibition of art works.
Oshodi Art Gallery,8054847010,"Plot 115, Oshodi art gallery, opposite Nasfat akasolori, Ikorodu, Lagos, Nigeria",Lagos,Arts,Oshodi Art Gallery exhibites modern and traditional art converge. Explore stunning exhibitions that celebrate creativity and cultural heritage.
Yenwa Art Gallery,0806 926 9824,"1-7 Muri Okunola, Victoria Island, Lagos, Nigeria",Lagos,Arts,Yenwa Art Gallery showcases exquisite modern and traditional artworks. Join us to explore diverse exhibitions that inspire and celebrate artistic talent.
Afrikraft Art & Kraft,"0803 325 8281, 0803 673 0830","Plot 24 Payne Crescent, Apapa, Lagos Nigeria",Lagos,Arts,Afrikraft Art & Kraft is an art craft center situated within Apapa axis of Lagos renowned for creating avenue for art-work exhibition and art works sales.
Aris Designs Concept,"0803 640 5324, 0802 307 4365, 01 8234251","Suite 28, 12 King George V. Road, Onikan, Lagos Nigeria",Lagos,Arts,"Aris Designs Concept deals on the design, installation and manufacturing of signage via signage manufacturing, signage maintenance, signage installation corporate branding, etch film (sandblast) manifestation and lots more."
Artistic Licence,0702 878 8354,"Sandiland Arcade, 230, Muri Okunola Street, Victoria Island, Lagos Nigeria",Lagos,Arts,"Artistic license is an art gallery and art dealers selling paintings, modern and African arts located in Victoria Island, Lagos."
Artsville,"0803 312 8201, 01 4707297","No 1, Old Ipaja Road, Iyana Ipaja, Lagos Nigeria",Lagos,Arts,"Artsville is an art centre in Lagos providing diverse range of art works ranging from paintings, sculptor, portraits, panel works, metal works, carvings and lots more."
Artzil Online Art Gallery,0803 224 2802,"No 6 Jejelaiye Street, Ojo, Lagos, Nigeria",Lagos,Arts,"Artzil Online Art Gallery deals on arts exhibition display and sales of arts works, crafted materials as well as various large and expensive customized art pictures & related."
CameraHireLagos,0901 449 9959,"Randle Avenue, Surulere, Lagos",Lagos,Arts,We have available video and photography equipment for hire at the most affordable rate in Lagos. Rent from us before you own.
Castle Walls Limited,"0802 372 2832, 0803 268 9944, 0809 181 1361","No 17, Ibidun Street Off Arowojobe street, Mafoluku Oshodi, Lagos Nigeria",Lagos,Arts,Castle Walls is a dynamic paint production and painting service for home and commercial buildings employing the state of the art facilities for production and sale of high quality architectural paint and coatings for private and industrial users.
CraftlyZone,0704 624 7946,"Elegushi International Craft Market, Lekki, Jakande First Gate, Lekki, Lagos",Lagos,Arts,"Craftlyzone is a art & craft store, we are into handmade exquisite artwork products ranging from furniture, leather bags to paintings. Our goal is to serve you here in Nigeria with the finest work of art worthy of your extravagant taste."
