Private Sector Health Alliance of Nigeria,"01 454 9079, 01 454 4024","2 Ajose Adeogun, 6th Floor Zenon House, Victoria Island, Lagos",Lagos,Health,Private Sector Health Alliance of Nigeria is a private sector-led coalition that strives to improve the country's health related sustainable development goals.
Welpro Nigeria Limited,"0809 758 0775, 0708 939 0380, 0703 650 0602","2, Oladapo Street, by Epe Close, Off Ikosi Road, Oregun, Ikeja, Lagos",Lagos,Health,Welpro Nigeria Limited carry out the business of managed care services to individuals and corporate entities.
AlÃÂ© Beaute,"0907 003 7777, 0809 425 0303","11B Kayode Otitoju Street,, Lekki Phase 1, Lagos, nigeria",Lagos,Health,"Ale beaute is a laser and medical aesthetics clinic committed to providing a range of result-oriented treatments in Lagos, Nigeria. We Specialise in laser teeth whitening, laser hair removal and corrective skin treatments, with a focus on treating teeth d"
DegoNigeria,"0704 042 4876, 0803 391 5541","28 Osuolale streeet, Adaloko, Oto -Awori, Lagos",Lagos,Health,DegoNigeria is an home of health care and beauty and we provide herbal fibroid products in Nigeria.We carry out comprehensive body test. We also provide therapy for all sicknesses.
Divine Medical Centre,"0708 785 9429, 0802 315 1133","16 Norman Williams street, off Keffi Street, South West Ikoyi, Lagos, Nigeria",Lagos,Health,"This health service center for corporate health services, chiropractors, antenatal, surgery and breast care services."
EHRAAI,0818 426 7325,"161 Herbert Macaulay Way, Ebutte Metta, Lagos, Nigeria",Lagos,Health,Equal Health and Rights Access Advocacy Initiative - EHRAAI is a peer-led initiative that aims to reduce health and human rights related stigma & discrimination affecting PWUDs & other vulnerable persons in Nigeria through community awareness & education.
Genuine Health Africa,"0818 409 2995, 0816 941 1052","41 Thomas Salako Street, Ikeja Ogba, Lagos State",Lagos,Health,Genuine Health Africa is a health communication company that provides public relations services to healthcare and other related organizations.
GOHEF,0703 252 4954,"16 Oniyanri Street, Mile 12, Lagos, Nigeria",Lagos,Health,"Good Health Enhancement Foundation (GOHEF) was created with the purpose to promote peace and unity within the community, and as well create empowerment opportunities for youths and the vulnerable.Buy vitamins and supplements"
Kangpe Healthcare Services,0701 559 9695,"56 Ogunlana Drive, Ikate Surulere, Lagos Nigeria",Lagos,Health,"Kangpe Healthcare Services is an online health platform that bridge the gap between Doctors and patients, allowing you ask health questions anonymously and get your answers from real and verified doctors in less than 10 minutes."
Kidney Solutions Limited,"0803 485 3935, 0817 866 0537, 0811 570 7684","3 Tunde Gafar Close, Off Adeniyi Jones, Near Aromire Junction, Ikeja, Lagos, Nigeria",Lagos,Health,"Kidney Solutions Limited is dedicated to providing in-center & home dialysis, transplant consultation, kidney disease management and is situated in Ikeja, Lagos, Nigeria."
Schubbs Dental Clinic,"0805 055 7574, 0803 484 9005, 0704 631 0733","5 Douala Road, Apapa, Lagos, Nigeria",Lagos,Health,"Schubbs Dental Clinic offers medical services on orthopedic, community medicine, anaetheslogy, microbiology, hematology, anatomical pathology, accident and emergency care."
Seham Health Care (SHECA) Foundation,"0818 701 3577, 0803 408 6034, 0903 204 5651","Sutie C Adigun Plaza, Ibeju Lekki-Epe Express Way, Lakowe, Lagos, Nigeria",Lagos,Health,"Seham Health Care (SHECA) Foundation is a not for profit organization which is committed to the development of public awareness, prevention & care for viral hepatitis & related cancer diseases.Buy vitamins and supplements"
West African Health,"01 480 0305, 01 404 8726, 01 255 7542","40 Adegbola Street, Anifowose, Ikeja, Lagos, Nigeria",Lagos,Health,The west African health conference and exhibition (WAH Expo) services.
BetaJob,0816 606 0249,"11 Joseph Street, Opebi Link Road, Ikeja, Lagos",Lagos,Employment,"BetaJobNG offers recruitment services for employers & job seekers. We run a job portal where employers can post job, candidates can search jobs, upload their resume and apply online."
De Ultimate Recruitment Services,0903 449 0059,"61 Unity Avenue - Agric Bustop, Ikorodu, Lagos Nigeria",Lagos,Employment,"De Ultimate Recruitment Services stands out as a vital link between job seekers and top employers in Nigeria, ensuring that the right talent meets the right opportunity."
Workforce Group,"0814 333 2223, 0903 194 6744, 0908 747 4562","Plot 9, Block A, Gbagada Industrial Scheme, Gbagada, Lagos Nigeria",Lagos,Employment,"Workforce Management Centre (Workforce Group) is an employment service center helping individuals, organisations and communities identify and build capabilities that will enable them create value, achieve high performance and win in the market place."
Ascentech Services Ltd,"0807 921 1199, 0809 992 2733, 09091 416094","First Floor No 148/150 Bode Thomas Street, Surulere, Lagos Nigeria",Lagos,Employment,"Ascentech Services Ltd. We are one of the 21st century consulting, recruiting and outsourcing company in Nigeria."
Baseline Drivers Services,"0813 152 6769, 0817 669 7595","131, Herbert Macaulay way, Adekunle, Lagos",Lagos,Employment,Baselinedrivers.com is a specialized job board and career site connecting employers in logistics & transportation with exclusive audience of job seekers.
Doheney Services Limited,0813 460 2626,"No 55 Coker Road  off Town Planning way, Illupeju, Lagos Nigeria",Lagos,Employment,"Doheney Services Limited is an employment services center located in Illupeju Lagos, providing specialized and in depth human resource consultancy services across several key industries via recruitment & selection, training & development, outsourcing etc."
EAGS Limited,"012900755, 012900744","No 65c Opebi Road, Beside salvation bus stop, Ikeja, Lagos Nigeria",Lagos,Employment,"EAGSL is a general service limited, focused on sales and service delivery. Furthermore, EAGSL also outsource for job searchers and help in easy employment."
HRLeverage,"0802 215 5626, 0803 228 8650","Capital Building, C/O MCTim, 332 Ikorodu Road, Anthony Village, Lagos Nigeria",Lagos,Employment,HRLeverage Africadelivers excellent spectrum of HR business solution & strategic management support services through a custom-built approach for organization.
iRecruiters Africa,"0808 445 7981, 0808 421 3034","Eric Moore Road, Surulere, Lagos Nigeria",Lagos,Employment,iRecruiters Africa are a digitally-native recruitment and business support agency that helps individuals and businesses achieve and become more.Our flexible recruitment options will deliver real value to your organization.
Kimberly Ryan Limited,"0818 453 2278, 01 631 1945","Plot 3/4, Water Corporation Road, Oniru Victoria Island, Lagos Nigeria",Lagos,Employment,"Kimberly Ryan Limited envisions to be the leading African human resources solutions provider. We attract, develop and retain superior human capital that create a dramatic business advantage for our clients."
