business_name,category,location,description_words,description_chars,quality_bucket,phone,address
"Nevada Hotels and Suites","Accommodation","Lagos","32","216","thin","0904 473 6776","3 Aaron Irabor St, off Alh. Prince Raufu Ishola Lemomu Street, Agungi, Lekki 106104, Lagos"
"Chesney Hotel","Accommodation","Lagos","26","172","thin","0909 685 1899, 090 968 51900, 01 2770312","37, Saka Tinubu Street, Victoria Island, Lagos, Nigeria"
"DeRitz Hotel","Accommodation","Lagos","22","137","very_thin","0802 135 2167, 0808 986 7767, 01 295 5687","4 Tiwalade Close, Allen Avenue, Ikeja, Lagos, Nigeria"
"Protea Hotels","Accommodation","Lagos","37","217","thin","0 1 631 0250","Plot 2, Assbifi Road, Ikeja, Lagos, Nigeria"
"Sofitel Moorhouse Hotel","Accommodation","Lagos","25","160","thin","0708 427 7309, 0803 553 4685, 01 27 77 210","1 Bankole Oki road, Ikoyi, Lagos, Nigeria"
"Welcome Centre Hotels","Accommodation","Lagos","32","205","thin","0805 476 3801, 0814 591 9738, 01 271 9255","70 International Airport Road, Ikeja, Lagos, Nigeria"
"Morning Side Suites","Accommodation","Lagos","26","170","thin","0704 643 6379","11b Taslim Elias Close, Victoria Island, Lagos"
"The Art Hotel","Accommodation","Lagos","18","112","very_thin","0916 610 5381","Plot 13A, Block III Yesufu Abiodun Oniru Way, Victoria Island, Lagos, Nigeria"
"Tudor House Hotel","Accommodation","Lagos","14","97","very_thin","0818 004 8923, 0915 437 8529","14 Dr Adewale Oshin St, Prince Bode Adebowale Crescent, Off Chief Collins Uchiejuno, Lekki Phase 1, Lagos, Nigeria"
"Villa Angelia Hotels","Accommodation","Lagos","16","118","very_thin","0909 080 2422","Villa Angelia, VI 20, Ojuolobun Close off Bishop Oluwole, Victoria Island, Lagos, Nigeria"
"White Orchid Hotel","Accommodation","Lagos","24","157","very_thin","0901 200 2206, 0901 200 2207","1637 Adetokunbo Ademola Street, Victoria Island, Lagos, Nigeria"
"Berry and Bricks Apartment","Accommodation","Lagos","21","125","very_thin","0816 480 4088, 0909 888 0175","1, James Anyaeche, Bera Estate, Chevron Drive, Lekki, Lagos"
"Cadebridge Homes","Accommodation","Lagos","23","182","very_thin","0807 404 9468","15 Awolowo rd, Ikoyi, Lagos State"
"Autocera Homes","Accommodation","Lagos","20","154","very_thin","0707 025 3975","24 Glover Rd., Ikoyi Lagos, Lagos State"
"Alafia Honestay","Accommodation","Lagos","39","251","thin","0703 109 0165","74A Ogudu road,. Next to Area H Police station, Ogudu GRA, Lagos"
"Bec Suites","Accommodation","Lagos","7","39","very_thin","08034035514, 07026409577, 01-2710454","16, Joel Ogunnaike Street / X51A & 53 Sir Michael Otedola Crescent, G.R.A, Ikeja, Lagos, Nigeria"
"Chez Moi Apartment","Accommodation","Lagos","22","139","very_thin","0815 423 7201, 01 454 3027","12 Ayoola Cooker Street, G.R.A, Ikeja, Lagos, Nigeria"
"Embassy Court Hotel","Accommodation","Lagos","9","58","very_thin","08033700063, 08138952592, 08037412523","15A Admiralty Way, Lekki Phase 1, Victoria Island, Lagos, Nigeria"
"Find Nigeria Property","Accommodation","Lagos","25","137","thin","0805 790 9314","Mobolaji Bank Anthony Way, Ikeja, Lagos, Nigeria"
"GrandBee Suites","Accommodation","Lagos","7","43","very_thin","08032761206, 01-4482370","31A, Joel Ogunnaike Street, Ikeja, Lagos, Nigeria"
"Hillcrest Hotel","Accommodation","Lagos","16","115","very_thin","07098111180, 01-2706886","2, Afolabi Awosanya Street, Opebi, Ikeja, Lagos, Nigeria"
"Hotel 1960 Eagles Park","Accommodation","Lagos","33","196","thin","0808 374 5991, 0813 778 4995, 0805 109 3592","7 Obokun Close, Awolowo way, Ikeja, Lagos, Nigeria"
"Oakwood Park Hotels","Accommodation","Lagos","9","57","very_thin","08074497177, 01-2702900","Lekki Expressway, Lekki, Lagos, Nigeria"
"Olatunde Kehinde & Co","Accommodation","Lagos","23","166","very_thin","0703 421 5599","26,Alimosho road, Iyana Ipaja, Lagos"
"The PalmView Manor Limited","Accommodation","Lagos","11","83","very_thin","08034020116, 07026364951","2, Tony Anegbode Street, Victoria Island, Lagos, Nigeria"
"Westown Hotel","Accommodation","Lagos","29","170","thin","0809 810 2983, 01-7742757, 01-4489400-8","7, Sheraton-Opebi Link road, Ikeja, Lagos, Nigeria"
"American Business Council","Business","Lagos","14","100","very_thin","0805 522 9663, 01 270 2909, 01 270 2910","C&C Towers, Plot 1684, Sanusi Fafunwa Street, Victoria Island, Lagos State Nigeria"
"Chris Ejik Group of Companies","Business","Lagos","20","155","very_thin","0815 089 2289, 0906 600 0006","3, Oje-Imavan Street, Off Kudirat Abiola Way, Ikeja, Lagos, Nigeria"
